"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-D1",3.38885821288165e-23,0.807498420468878,1,0.967,6.27718206772069e-19
"Gm10260",1.55235191962472e-19,5.84992529197479,0.268,0,2.87542146072086e-15
"Gm11361",1.48091693012404e-18,3.8908970730311,0.35,0.027,2.74310242966876e-14
"mt-Co3",1.90377416117246e-13,-0.56296597386368,1,1,3.52636087873974e-09
"mt-Co2",8.86386515964699e-12,-0.467705753192431,1,1,1.64185374352141e-07
"mt-Nd1",1.93264711204744e-10,-0.640151086099678,0.93,0.956,3.57984224564547e-06
"Ubb",3.9765444885803e-10,-0.550045703347406,0.961,0.984,7.36575335619728e-06
"Cep76",5.0021526088242e-10,1.09503778981132,0.031,0.005,9.26548727732506e-06
"H2-Eb1",7.88216987338717e-10,-0.765197128632538,0.809,0.885,1.46001432564751e-05
"Il5ra",9.96306276335646e-10,-1.98837821837632,0.167,0.415,1.84545811565652e-05
"mt-Cytb",1.9662306675055e-09,-0.487605265006877,1,0.995,3.64204906542045e-05
"Gm30382",8.12234824103317e-09,-2.44685598901795,0.035,0.219,0.000150450256468657
"Nckap1",9.85242136331535e-09,-0.226890305076042,0.019,0.005,0.00018249640091269
"Dnase1l3",1.41352095136106e-08,-2.64746598789632,0.043,0.224,0.00026182648582061
"Asph",1.66862827850257e-08,-2.22960980642963,0.117,0.339,0.00030908001602703
"Rps18",1.86337052257324e-08,-0.543428804478171,0.992,1,0.000345152121896241
"Junb",3.288835735716e-08,-0.811852805797198,0.514,0.776,0.000609191043326675
"mt-Atp6",6.71169110774298e-08,-0.390807028102361,1,1,0.00124320654388723
"Ncaph",9.50644872315296e-08,0.732467710426612,0.023,0.005,0.00176087949698962
"Atf3",1.48712148029388e-07,-1.50854038907718,0.089,0.295,0.00275459511794836
"Cd9",1.90414027436934e-07,-1.82779434966622,0.101,0.301,0.00352703903021433
"Plac8",2.72228323506668e-07,-0.878075575889857,0.642,0.82,0.00504248523631402
"Cebpb",3.00245495061881e-07,-1.08508297873688,0.21,0.454,0.00556144730503122
"Sox5",3.46843118581645e-07,-1.31884693670072,0.261,0.47,0.00642457508548782
"Cd52",3.83718686959832e-07,0.688617303490706,0.977,0.945,0.00710762123855698
"H3f3b",6.07016586253737e-07,-0.436015547405528,0.984,0.995,0.011243768227178
"Gm47957",8.04562731661638e-07,-2.38804509689062,0.035,0.186,0.0149029154785685
"Rasgrp3",9.8933935309485e-07,1.10189146085238,0.541,0.322,0.0183255328373759
"Ankrd9",1.09356124445969e-06,-3.8822421336886,0.004,0.104,0.0202560349311267
"Myo1d",1.21417696612663e-06,-3.23314929554772,0.066,0.191,0.0224901999435635
"Dst",1.26723854398574e-06,0.510075289090164,0.019,0.005,0.0234730595502479
"mt-Co1",1.33815999306675e-06,-0.393958982788488,0.996,1,0.0247867375515754
"Cmss1",1.9236731414271e-06,-0.678369800322946,0.661,0.814,0.0356321975986542
"Nfatc1",2.51463532170533e-06,-1.1135488320001,0.319,0.514,0.0465785900639478
"mt-Nd2",2.52169568928274e-06,-0.425626217415463,0.969,0.929,0.0467093692525841
"Sec61b",2.71976270873648e-06,0.803303071724218,0.65,0.705,0.0503781646539258
"Ier2",2.93399795472367e-06,-0.973740488174092,0.3,0.53,0.0543464441153465
"Uty",2.96720821823487e-06,-2.14703699738683,0.023,0.148,0.0549615978263645
"Jund",3.20951931093441e-06,-0.543320967887928,0.914,0.984,0.0594499261964382
"Atp2b1",3.54750629612144e-06,-0.724222588824078,0.654,0.76,0.0657104591230574
"Bcl11a",4.69499423914002e-06,1.03673914924665,0.494,0.366,0.0869653782915906
"Sec61g",7.41746739642552e-06,0.995502116260406,0.658,0.514,0.13739374858399
"Btg2",7.68444367776793e-06,-0.78785732472822,0.65,0.798,0.142338950243295
"Il6st",7.93443937732069e-06,-1.55896635533949,0.14,0.322,0.146969620586111
"Zcwpw1",9.23939314695954e-06,-1.39038903735892,0.058,0.208,0.171141279261132
"Fosb",9.46150681402032e-06,-1.17768278099241,0.3,0.508,0.175255490716098
"Rbm47",1.01894208431034e-05,-1.24161181078281,0.268,0.421,0.188738642276804
"Agpat4",1.46387366313898e-05,-1.30772137968909,0.179,0.35,0.271153318623233
"Hacl1",1.6349559100054e-05,0.24704088325637,0.016,0.005,0.3028428832103
"Rexo2",1.67774335788364e-05,1.61919701147028,0.389,0.235,0.310768402180786
"Odc1",1.68356560119702e-05,-1.00061444925237,0.385,0.519,0.311846856309724
"Rpl9",1.84011653815678e-05,-0.301303026228632,0.996,0.995,0.340844786362781
"Calr",1.97207214343527e-05,1.02549685655824,0.642,0.454,0.365286923128514
"Inpp5a",2.08180120952486e-05,-1.15505756031498,0.206,0.388,0.38561203804029
"Txnip",2.10081239524654e-05,-0.698032906240036,0.537,0.683,0.389133479971517
"Tnfrsf1b",2.25854100063656e-05,-1.47222270917638,0.117,0.29,0.41834954954791
"Lman1",2.30057341935422e-05,1.85348311138798,0.284,0.142,0.426135214466982
"1810046K07Rik",2.33752678688503e-05,-2.4228105150513,0.023,0.137,0.432980086734715
"Ralgps2",2.48806316717349e-05,0.7901832082829,0.751,0.607,0.460863940455546
"Inpp5f",2.52956467062853e-05,1.76488918811899,0.253,0.104,0.468551263940522
"Zbp1",2.59114181543063e-05,-0.782706460137682,0.241,0.257,0.479957198472215
"Rpn1",2.72325407919515e-05,1.47354941306505,0.296,0.131,0.504428353089317
"Klf4",3.10520350972605e-05,-1.4228105150513,0.109,0.279,0.575176846106556
"mt-Nd3",3.36401043861949e-05,-0.697366790780312,0.494,0.667,0.623115653545488
"Lilrb4a",3.80035425404621e-05,-0.647465987896315,0.047,0.126,0.703939618476979
"Eif1",3.85209770443936e-05,-0.394024792996726,0.973,0.995,0.713524057793303
"Tbc1d23",4.17612459581383e-05,-1.22689030507604,0.167,0.339,0.773543558882596
"Flt1",4.26262040065902e-05,-4.29727963296744,0,0.055,0.78956517681407
"Ighm",4.30303840632252e-05,-0.372597836782668,0.735,0.902,0.797051804003121
"Cacna1e",4.38406664660035e-05,-0.8364622731412,0.451,0.617,0.812060664949783
"Tpt1",4.58138280179642e-05,-0.235611233075018,1,1,0.848609536376751
"Gm26532",4.82957794854064e-05,-1.8118528057972,0.058,0.197,0.894582723408183
"Vars",4.84235149125021e-05,-1.16130196344846,0.171,0.35,0.896948766724277
"Sec11c",4.95087310885026e-05,1.00325855989484,0.49,0.541,0.917050225952334
"Ctla4",5.13340973785548e-05,-1.37506075387783,0.191,0.361,0.950861485742971
"Ddx50",5.68262679157399e-05,-0.767909458209601,0.21,0.399,1
"Pip5k1c",5.72837118392236e-05,-1.61545559299369,0.082,0.197,1
"Nfil3",6.04893975474218e-05,-2.04012179347032,0.051,0.169,1
"Sdf2l1",6.10017087188684e-05,1.66962114475248,0.28,0.18,1
"Fdps",6.11976203789055e-05,2.44867474442602,0.14,0.027,1
"Cr2",6.46067295999992e-05,2.35807219564511,0.163,0.044,1
"Fkbp11",6.61568617875907e-05,2.16351752769409,0.183,0.077,1
"Ms4a4c",8.90357212963389e-05,-0.539112260537367,0.339,0.279,1
"Marcks",9.85084255719158e-05,-1.30229770773406,0.109,0.268,1
"Bank1",0.000103793709007403,0.434849488854371,0.79,0.831,1
"S100a6",0.000105607780829565,0.122793456208702,0.475,0.661,1
"Dennd4a",0.000106206935009648,-0.486734082906338,0.883,0.945,1
"Rpl35",0.000107533095675851,-0.41578324815733,0.84,0.874,1
"H2-K1",0.000111845325880865,0.344746628386621,0.992,0.995,1
"Arl5c",0.000125600888324462,-1.58107259896803,0.082,0.208,1
"Sik1",0.000128651769035921,-0.949356329547133,0.323,0.486,1
"Pla2g4a",0.00013650207846546,0.24704088325637,0.008,0.011,1
"Trat1",0.000136502078465461,0.24704088325637,0.008,0.011,1
"Tppp3",0.000136502078465465,-1.22689030507604,0.008,0.011,1
"Uck2",0.000150439725926595,-1.32642597862696,0.144,0.24,1
"Cxcr5",0.000157523907817708,-0.642936329415801,0.331,0.53,1
"Snd1",0.000160176372123107,0.678528903315809,0.56,0.361,1
"C1qc",0.000182357773870538,-1.33792161746479,0.016,0.016,1
"Smc6",0.000206940754509157,-0.782105462403146,0.358,0.432,1
"Mir142hg",0.000225392318376635,-0.517018371792111,0.623,0.776,1
"Ywhag",0.0002481765857076,-0.991118853938394,0.183,0.355,1
"Cd86",0.000250415983045594,-0.574281641292353,0.467,0.656,1
"Mcl1",0.000267168572662932,-0.39904090761183,0.786,0.891,1
"Pdia6",0.000275697670849094,1.17832813317236,0.463,0.361,1
"Tox",0.000286312842129899,2.65303324293221,0.093,0.011,1
"Actn1",0.000287851530108774,-2.07488721163099,0.039,0.142,1
"Ift20",0.000312104588078386,0.764648116175762,0.296,0.257,1
"Tmem163",0.000315874500646841,-0.170598411210753,0.412,0.574,1
"Plekhm2",0.000316210635154152,-0.804033301337899,0.109,0.235,1
"Dnajb11",0.000316965748744392,1.09503778981132,0.331,0.246,1
"Crem",0.000320924653663786,-1.00449788373959,0.276,0.437,1
"Kdm6b",0.000321989022456503,-1.10065030769607,0.202,0.339,1
"Ifnar1",0.000328364060002809,-1.13147073999736,0.171,0.306,1
"Sbno2",0.000351985024062171,-1.06611700200326,0.187,0.24,1
"Rpl12",0.000356762946281332,-0.346773504804158,0.988,0.989,1
"A430093F15Rik",0.000360005636569944,-2.29727963296744,0.023,0.115,1
"Edem1",0.00036548461599511,1.16876817834469,0.393,0.24,1
"Cox17",0.000366031173931945,0.759102836930079,0.44,0.257,1
"Rpl13a",0.000366580171329556,-0.356522294669904,0.988,0.995,1
"Crnkl1",0.000373486889352083,-1.65038938310308,0.058,0.175,1
"Rrbp1",0.000421634547825226,0.820862826372326,0.518,0.35,1
"Timp2",0.000425516935511504,-2.65984971235215,0.012,0.087,1
"Pag1",0.00043474589396626,0.840223890782495,0.482,0.377,1
"Ckap4",0.000434939352900704,0.936340043792262,0.268,0.213,1
"Rps21",0.000444514617676155,0.335139456107985,0.992,0.989,1
"Pcnt",0.00044548662843103,-0.10659607135833,0.113,0.087,1
"Atrx",0.000452460463087767,0.722125766205153,0.576,0.421,1
"Plcg2",0.000457682415650227,0.681302949800113,0.564,0.47,1
"Manf",0.000466933730603854,0.954293813780955,0.455,0.454,1
"Ppib",0.000470172713101109,0.86477952323635,0.693,0.645,1
"Carhsp1",0.000473131565591679,-0.155505671839276,0.109,0.077,1
"Hsp90b1",0.000475985572955683,1.23744011297409,0.79,0.672,1
"Klhl36",0.000486584922193197,3.21051500723126,0.047,0,1
"Eml3",0.000486584922193375,3.21051500723126,0.047,0,1
"F10",0.000499969194648801,-1.07488721163099,0.012,0.049,1
"Lmna",0.000510662741493488,-0.47305089234544,0.187,0.333,1
"Ccl2",0.000527516297987127,-1.53723042568819,0.008,0.06,1
"Fosl2",0.000533064395223328,-1.46567716466316,0.082,0.202,1
"Rpl10",0.000553762909619064,-0.319609739187844,0.942,0.973,1
"Ndufa1",0.00056281969478111,0.936889956145362,0.389,0.23,1
"Hist3h2a",0.000569960322439218,-1.79248748093027,0.051,0.153,1
"Creld2",0.00057234131563677,1.19657581627338,0.226,0.197,1
"Trafd1",0.000591371616761302,-0.998071614580161,0.16,0.235,1
"Mcc",0.000598898479010935,-4.13378090068456,0.004,0.06,1
"Fth1",0.000628379794376577,-0.400084453508932,0.949,0.984,1
"Eaf2",0.000674927906174817,1.06367361890199,0.249,0.24,1
"St6galnac3",0.000713015853160434,1.23820351999719,0.428,0.344,1
"Ppt2",0.000731278797584184,-3.48992471090984,0,0.038,1
"Mef2c",0.000766851025231602,0.431450523449359,0.918,0.896,1
"Tbc1d4",0.000780023311638861,0.188147194202802,0.023,0.005,1
"Ets2",0.000802290850317451,-1.21927712096617,0.125,0.24,1
"Spi1",0.000833996253608907,-1.18789617346018,0.136,0.262,1
"Gm31718",0.00085176491841226,-1.52554862064056,0.07,0.148,1
"Coq10b",0.000856390989583548,-0.947397476509076,0.21,0.339,1
"Rtn3",0.000887495734688708,-0.691282220188805,0.416,0.59,1
"Os9",0.000903663950804675,1.20606910220006,0.249,0.126,1
"Camk1d",0.000920655625931761,0.596190446878757,0.735,0.612,1
"Rpl5",0.000921074444119019,-0.211571255074378,0.887,0.847,1
"Fbxl17",0.000941995362260466,0.710012859598916,0.51,0.333,1
"Xbp1",0.000944631042731843,1.27156320239044,0.311,0.246,1
"Ndufa4",0.000996105421135471,0.649478345755581,0.693,0.596,1
"Jak2",0.00100115104909971,-0.882242133688596,0.296,0.437,1
"Dusp10",0.00102021834739653,-1.10290158780059,0.144,0.279,1
"Mpp7",0.00103116927891674,-1.76001387427758,0.097,0.202,1
"Stk3",0.00104837815868081,-1.48992471090984,0.089,0.191,1
"Pstpip2",0.00106820729888473,-1.56587356414313,0.078,0.186,1
"Nr3c2",0.00114388021200618,-1.05876754626771,0.226,0.361,1
"Gm42047",0.0011581577112832,-2.32642597862696,0.023,0.104,1
"Vim",0.00116503364623162,-0.141705318203545,0.506,0.656,1
"Sbno1",0.00117396493237464,-0.952267924967036,0.261,0.383,1
"Hspa5",0.00120540881935642,0.630131041107872,0.677,0.721,1
"Rtp4",0.00120815492617434,-1.76555915352326,0.058,0.137,1
"Pcmtd1",0.00124799801366437,-0.738805022433769,0.463,0.568,1
"Fam49b",0.00124869410676284,0.374357279232604,0.689,0.694,1
"Trp53inp1",0.00126436585305281,1.01324369864767,0.304,0.295,1
"Actg1",0.00127268292379509,-0.343299797191352,0.817,0.918,1
"Slc25a3",0.00128919384790772,-0.496238484842038,0.568,0.678,1
"Stk38l",0.00130791209842752,-0.29727963296744,0.07,0.137,1
"Specc1l",0.00132874854127859,-0.972076406047216,0.198,0.35,1
"Prdx4",0.00139443654030304,1.19333986342312,0.222,0.175,1
"Chst3",0.00141081718569858,0.847110276367735,0.346,0.191,1
"Pecr",0.00142136643836561,2.44867474442602,0.082,0.011,1
"Krtcap2",0.00142567544756923,0.950116794498903,0.533,0.443,1
"Tmem260",0.00143214981663812,3.15393147886489,0.066,0.005,1
"Pon3",0.00144185520402471,2.09503778981132,0.117,0.033,1
"Cd80",0.00148209238341417,-1.19619350785313,0.148,0.262,1
"Camta1",0.00150529745089603,-0.388045096890622,0.125,0.208,1
"Rpl35a",0.00150901987798094,0.235408718145937,0.996,0.995,1
"Vps37b",0.00150979448850982,-0.783655913966546,0.366,0.492,1
"Akap11",0.00155564140705793,1.5496036532768,0.121,0.033,1
"Syngr2",0.00155901717075354,0.794528678558864,0.292,0.153,1
"H2-Q1",0.00157679995954903,2.96950690772746,0.039,0,1
"Tmed10",0.00160032618837428,0.486616316266175,0.463,0.454,1
"Tnfsf8",0.00161900138998239,-2.6192077278548,0.019,0.093,1
"Taf4b",0.00164084050435171,-1.5488183999634,0.066,0.175,1
"Mlec",0.00168320624759523,0.992857395004842,0.276,0.186,1
"C3",0.0017401178374395,-3.39681530651835,0.004,0.055,1
"Mfsd14a",0.00181118663334441,-1.06311004385464,0.136,0.268,1
"Dlg1",0.00181750806578909,-0.43171009696454,0.451,0.421,1
"Aoah",0.0018510605011812,-3.73785222435342,0.004,0.055,1
"Gm13427",0.00189490134904,-3.29727963296744,0,0.033,1
"P2ry14",0.00189490134904021,-3.48992471090984,0,0.033,1
"Senp8",0.00189490134904029,-3.29727963296744,0,0.033,1
"Mvk",0.00189490134904037,-3.29727963296744,0,0.033,1
"Klf10",0.00195249758613709,-1.90496221018868,0.027,0.109,1
"Pxdc1",0.00195707818650641,1.83200338397753,0.132,0.044,1
"Spcs3",0.00196739247516426,0.482594552668058,0.249,0.251,1
"St6gal1",0.00197338969483924,0.643341819953628,0.611,0.508,1
"Slpi",0.00200167084909824,4.17972461511781,0.14,0.049,1
"CAAA01118383.1",0.0020221873101435,-1.07488721163099,0.136,0.268,1
"Apip",0.00203337612861745,-1.26251421480676,0.089,0.18,1
"Bet1l",0.00207539225204012,-1.07488721163099,0.089,0.148,1
"Ndufa11",0.0020945042949718,0.839780734569246,0.307,0.164,1
"Derl3",0.00209882401067937,1.07195417669828,0.14,0.049,1
"Cystm1",0.0021072963616308,-1.56792722291111,0.054,0.153,1
"Swap70",0.00211557688516879,0.638549847038974,0.673,0.541,1
"Fnip2",0.00212046329145391,-3.57738755216018,0.012,0.066,1
"Sema4d",0.00213658171930907,0.699109113480181,0.405,0.246,1
"Bcl10",0.00220539947356146,-0.616836823392055,0.292,0.344,1
"Pdia4",0.00220936309187361,0.701273088823018,0.486,0.508,1
"Ccr6",0.00223526305938529,1.23444084647674,0.226,0.104,1
"Klrd1",0.00225297805825665,-1.2863913168247,0.062,0.049,1
"Tmed9",0.00226917246991283,0.688781176074686,0.494,0.333,1
"Sertad1",0.00227398621659187,-1.41592412946606,0.07,0.164,1
"Ostc",0.00231425256424795,0.708404005536143,0.389,0.35,1
"Tspan2",0.00231626102845065,-2.33792161746479,0.016,0.082,1
"Tma7",0.00234615615394092,0.36568537975499,0.65,0.486,1
"Fkbp2",0.00235279412156347,1.13600957086763,0.327,0.224,1
"Kctd12",0.00236500921620488,-0.701428816103547,0.195,0.339,1
"1500011B03Rik",0.00237424165139013,1.5853634163944,0.163,0.06,1
"Ak3",0.00239886950710358,2.31743021114777,0.078,0.011,1
"Mau2",0.00240931081282803,-0.542392130803971,0.195,0.219,1
"Chpf2",0.0024186604798915,-1.65984971235215,0.008,0.044,1
"Dnm2",0.00249728006421463,0.229967369897429,0.35,0.246,1
"Itpr1",0.00258200835885439,0.680000290532477,0.529,0.393,1
"Sik3",0.00258319506296677,-0.536535653201426,0.595,0.694,1
"Spcs2",0.00259702347805626,0.658276812375358,0.521,0.508,1
"Atp5j2",0.00263538159716809,0.616526230720807,0.533,0.443,1
"Ssr2",0.00265754246879492,1.16999984749254,0.28,0.175,1
"Stk10",0.00270154232661575,0.895365444974956,0.327,0.186,1
"Ptprc",0.00271659110595788,0.448801971820688,0.84,0.792,1
"Mcph1",0.0027431484343085,1.04612818933037,0.105,0.038,1
"Arl5a",0.00276606016480711,1.11414661275902,0.233,0.109,1
"Dnajc7",0.00277901546678024,-0.602107760743953,0.595,0.721,1
"Rpl34",0.00278733598990074,0.153732570711649,0.992,1,1
"Cdkn1a",0.00279059856166733,-1.56792722291111,0.027,0.104,1
"Iglv3",0.00279468016961846,3.71952865471911,0.062,0.005,1
"Cxcr3",0.00280456998774124,0.603184693481646,0.109,0.049,1
"Lmo7",0.00283144322952543,-1.03049309227254,0.128,0.257,1
"Socs2",0.00284379870959706,3.31743021114777,0.035,0,1
"Dapk2",0.00284379870959817,3.09503778981132,0.035,0,1
"Clca3a1",0.00284379870959823,2.83200338397753,0.035,0,1
"Tmem201",0.00284379870959958,2.83200338397753,0.035,0,1
"Mrpl57",0.00288608387605987,0.744540542727187,0.292,0.24,1
"Cd22",0.00290995993649303,0.753346440102528,0.366,0.251,1
"St3gal3",0.00292640128923276,0.767873046557811,0.156,0.066,1
"Litaf",0.00292647864094042,-0.648991196877454,0.339,0.492,1
"Clec2d",0.00299776078232188,0.617990628257052,0.494,0.333,1
"Skap2",0.00300517376402084,0.426417360043255,0.307,0.311,1
"Pfdn6",0.00302301340678994,-0.691558572079486,0.148,0.186,1
"Mtbp",0.00302889512738142,-2.15288972363226,0.019,0.087,1
"Suv39h1",0.00302931379302832,2.5975381303405,0.062,0.005,1
"Dmxl1",0.00306974483524543,0.853331893418039,0.588,0.47,1
"Spcs1",0.00307461927816522,0.885774640418508,0.323,0.262,1
"Rpl10-ps3",0.0030798976841904,1.78309378349658,0.109,0.027,1
"March1",0.00308125787404918,0.684326215935267,0.494,0.388,1
"Purb",0.00313907314343641,-0.457503233217458,0.233,0.366,1
"Slc39a11",0.00315715411103876,1.69770229226594,0.128,0.044,1
"Bach2",0.00317477222262912,0.502829191281278,0.72,0.661,1
"Ehd4",0.00317628812508536,-0.57608135465955,0.21,0.23,1
"Selenom",0.00319931704944549,2.39760055983175,0.089,0.022,1
"Sh3rf1",0.00322456063378327,-1.6192077278548,0.051,0.142,1
"Rpp25l",0.00327522271000469,-0.431031021856267,0.093,0.087,1
"Tnfsf4",0.00329240966137461,-2.56031403880123,0.016,0.077,1
"Sh3bgrl3",0.00340893365025203,0.14445317759431,0.798,0.88,1
"Nr4a1",0.00342503659671813,-0.77943132810482,0.272,0.41,1
"Mctp2",0.00347076587675249,-1.26753228957339,0.125,0.219,1
"Clip1",0.0035174335299376,-1.00449788373959,0.066,0.153,1
"Lncpint",0.00353454710085285,-0.345878341293129,0.844,0.82,1
"Lcp1",0.00358506691830234,0.516201391887006,0.665,0.601,1
"BC028528",0.0035900881364115,-1.44685598901795,0.058,0.153,1
"Ddost",0.00359821933835316,0.983011172077209,0.268,0.213,1
"Ccr10",0.00360773673892954,2.44867474442602,0.058,0.005,1
"Ms4a1",0.00362457676124064,0.36422442262671,0.708,0.721,1
"Spp1",0.00369456014795346,0.680000290532477,0.012,0.038,1
"Ciita",0.00369843311894827,0.773109694923958,0.366,0.219,1
"Sipa1l1",0.00370244000260712,-0.580122519881414,0.498,0.585,1
"Mbnl1",0.00373135700159599,0.344737557143504,0.844,0.847,1
"Prkca",0.00373702360352085,-0.434429598318132,0.339,0.497,1
"Cd3d",0.00387061957229031,0.416965884698683,0.121,0.055,1
"Luc7l2",0.00390578755918391,-0.141382623417899,0.798,0.727,1
"Hspa13",0.00396992828707588,1.74711448639101,0.113,0.033,1
"Bcl2l11",0.00397633934817757,-1.0166725976857,0.136,0.262,1
"Prkar1a",0.00402461624791503,0.77755559995515,0.358,0.213,1
"Hspa9",0.0040716219396967,-0.874068202242896,0.195,0.301,1
"Grb2",0.00408087667272541,0.497193997793432,0.712,0.596,1
"Mgat4a",0.00408352235598217,-0.134265758709924,0.37,0.301,1
"4632427E13Rik",0.00408687473115716,-1.16799661602247,0.097,0.208,1
"Fcf1",0.00411273404498945,-0.919608986153081,0.167,0.284,1
"Elmo1",0.0041665863987608,0.537316527676862,0.767,0.705,1
"Ddx5",0.00420607758090866,-0.27379128004507,0.938,0.967,1
"Snx2",0.00428308670377984,0.490552730825346,0.572,0.541,1
"Prg2",0.00429971909868333,-1.94935632954713,0.027,0.071,1
"Vav2",0.0044511535739271,0.52893431634148,0.237,0.202,1
"Washc4",0.00459382622247111,0.689183612697812,0.455,0.317,1
"Slc2a1",0.0046137942246091,-0.949356329547133,0.125,0.246,1
"Ikzf3",0.00464565604981033,0.568022638299444,0.704,0.596,1
"Por",0.00468634727898479,-1.37128021441122,0.07,0.142,1
"Cnpy2",0.00470414575304201,0.366711113918987,0.179,0.186,1
"Slbp",0.00475879472733514,-0.790791190269369,0.191,0.328,1
"H2-Q6",0.00478540795889607,-0.515459803016973,0.331,0.372,1
"H2-T23",0.00492319648064132,-0.365118255173555,0.479,0.47,1
"Plekhg1",0.00493712829307807,-3.07488721163099,0,0.027,1
"1700041G16Rik",0.00493712829307813,-3.07488721163099,0,0.027,1
"Il1rn",0.00493712829307821,-3.48992471090984,0,0.027,1
"Tbc1d16",0.00493712829307831,-3.07488721163099,0,0.027,1
"Fam57a",0.00493712829307836,-3.07488721163099,0,0.027,1
"Eps8l1",0.00493712829307853,-3.07488721163099,0,0.027,1
"Rhov",0.00493712829307858,-3.07488721163099,0,0.027,1
"Ccl12",0.0049371282930788,-3.07488721163099,0,0.027,1
"Ssr4",0.00494076698216454,0.811393104302241,0.576,0.585,1
"Cope",0.0049456458492185,0.555163178618702,0.319,0.29,1
"Dock10",0.00496943458937936,0.340626032100931,0.728,0.678,1
