"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm11361",8.47764895311397e-217,3.44803176815149,0.345,0.037,1.5703149155853e-212
"Gm10260",4.02029374651771e-202,6.84729607804507,0.233,0.002,7.44679010667476e-198
"H2-D1",1.6393621225369e-126,0.439082114904638,1,0.999,3.0365904595751e-122
"Gzmb",5.48423408118669e-122,-1.43641182775146,0.467,0.659,1.01584467885821e-117
"Xist",1.04365910690831e-121,1.07057833556517,0.605,0.304,1.93316976372627e-117
"mt-Co3",3.11372574967609e-115,-0.50158383968059,0.998,0.998,5.76755420612503e-111
"Rps18",2.11913667228125e-109,-0.467271339117697,0.999,1,3.92527685806656e-105
"Ubb",7.12733777909163e-94,-0.47782847147579,0.984,0.996,1.32019677682114e-89
"Plac8",9.98155630150803e-92,-0.981123006357855,0.516,0.729,1.84888367372833e-87
"H2-Q7",3.73916391307402e-89,-0.51481428731941,0.913,0.957,6.926053316187e-85
"Rpl35",3.04636389859165e-81,-0.574279068518772,0.778,0.87,5.64277984936131e-77
"Lgals3",5.00791624847069e-80,-1.03699329924139,0.387,0.586,9.27616326704225e-76
"Cmss1",3.72876574751163e-78,-0.67333576570619,0.747,0.855,6.90679279411579e-74
"Emb",4.93071059785276e-76,0.813555706454743,0.723,0.505,9.13315524040267e-72
"Tmem163",1.03344906329914e-70,-1.21059419217486,0.266,0.447,1.91425769994899e-66
"Rpl10",1.39773713906051e-66,-0.472378350482577,0.875,0.943,2.58902850268178e-62
"Gm36723",2.0243294121957e-64,-1.16299509624521,0.233,0.42,3.74966537021009e-60
"Klre1",2.53327523012909e-62,-1.05733236225811,0.252,0.443,4.69238570876812e-58
"Klrd1",7.02857710749924e-62,-0.642332547889958,0.667,0.789,1.30190333762208e-57
"Rpl13a",1.35659784941386e-61,-0.334259537374658,0.995,0.998,2.5128261964693e-57
"H2-Q6",1.10959100742525e-59,-0.750846223881925,0.424,0.608,2.05529542305379e-55
"Ifitm3",1.97337850729014e-58,-1.30263597062325,0.209,0.384,3.65528900905353e-54
"Rpl36",4.50537495270082e-58,0.35275176689017,0.998,0.997,8.34530602488772e-54
"Clca3a1",4.59808196782076e-56,7.3602147839035,0.064,0,8.51702722899439e-52
"H2-T22",4.0074330277101e-54,-0.760822834214556,0.427,0.586,7.42296819722742e-50
"Eno1",5.2661073852982e-54,-1.1131963878607,0.195,0.364,9.75441070978786e-50
"Igkc",1.44473528483267e-53,1.69586959788066,0.208,0.07,2.67608316809556e-49
"Tpt1",1.40323646570736e-52,-0.235570175283017,1,1,2.59921490542974e-48
"Ubash3b",8.06876298540267e-51,-0.908235071570476,0.305,0.482,1.49457696778614e-46
"Eif2s3y",2.19025254271194e-49,-1.22867360528064,0.1,0.242,4.05700478486533e-45
"mt-Co2",4.32884480297286e-49,-0.267628596016573,0.999,0.998,8.01831922854663e-45
"Itga4",6.5989102915169e-47,0.783440811318433,0.592,0.433,1.22231615329767e-42
"Styk1",1.13669440320771e-46,-1.43571919313181,0.069,0.191,2.10549904306165e-42
"mt-Co1",3.22856726881105e-45,-0.24584398763717,0.999,0.999,5.9802751520187e-41
"Sh3bgrl3",1.45953683561385e-43,-0.420974343401753,0.883,0.933,2.70350008060753e-39
"Rbm3",1.85557725991667e-43,-0.441797499088577,0.783,0.85,3.43708575854365e-39
"Rbpj",2.12889814326384e-41,-0.787961879557772,0.342,0.489,3.94335803076762e-37
"mt-Nd1",3.08927889309328e-41,-0.439366125354304,0.823,0.889,5.72227129367669e-37
"Rgs16",8.41824954174962e-41,-1.01465418663613,0.201,0.35,1.55931236261828e-36
"Rpl5",1.10022810842633e-40,-0.378029017909305,0.839,0.896,2.03795252523808e-36
"Tox",6.70079168658857e-40,0.809934084302834,0.619,0.503,1.2411876441068e-35
"Ifitm1",7.11796077965829e-40,-1.48489853930083,0.065,0.174,1.31845987521611e-35
"Rps21",1.46106504916928e-39,0.280487828493779,0.999,0.998,2.70633079057626e-35
"Gzmf",1.67379917272822e-37,-2.21537795374914,0.047,0.134,3.10037820764448e-33
"Jaml",4.46622143739066e-37,-0.677937436400107,0.363,0.515,8.27278196847872e-33
"Uty",1.0757905881771e-36,-0.997349680888793,0.127,0.255,1.99268690648044e-32
"Eef1a1",2.3098991774064e-36,-0.208290028964631,1,1,4.27862624630988e-32
"Tbc1d4",5.13897005923509e-36,1.47042185411682,0.204,0.092,9.51891424072116e-32
"Gm26740",1.00053550032707e-35,0.499192904433813,0.649,0.488,1.85329190725583e-31
"Ddx3y",1.17272438089963e-35,-1.14528489418924,0.086,0.196,2.17223737074038e-31
"Havcr2",2.57870556809613e-34,-1.01239177158714,0.167,0.293,4.77653632378446e-30
"2900026A02Rik",3.35177958927072e-34,-2.15560330322622,0.023,0.093,6.20850133320616e-30
"Actg1",3.63497696831987e-34,-0.355341027077533,0.973,0.985,6.73306783841889e-30
"Fgl2",7.78354308589651e-34,-0.789686849368158,0.235,0.377,1.44174568580061e-29
"Klri2",2.25105637659325e-33,-2.34155372859461,0.016,0.08,4.16963172636367e-29
"Irf8",1.04628673042387e-32,-1.03905814869338,0.161,0.287,1.93803691076414e-28
"Sntb1",1.90095391800052e-32,0.767505005442988,0.452,0.323,3.52113694231237e-28
"Btg1",9.02266321259375e-32,0.331915918414577,0.961,0.931,1.67126790686874e-27
"Pdk4",1.08609217332797e-31,7.67167587973979,0.036,0,2.0117685326554e-27
"Sub1",1.74076067091784e-31,-0.365696523208158,0.836,0.878,3.22441099074112e-27
"Tcrg-C2",2.8052011845295e-31,1.23594957526285,0.221,0.132,5.196074154104e-27
"Stat4",5.01051338777431e-31,0.429989785635497,0.839,0.741,9.28097394817435e-27
"Capg",2.30606512378027e-30,-0.66128464488285,0.269,0.409,4.27152442877819e-26
"Tmsb4x",2.32402281925085e-30,-0.261186869876523,0.999,0.999,4.30478746809834e-26
"BC023719",1.59037012992226e-29,5.60966621746437,0.037,0,2.94584259165501e-25
"Srgap3",1.60240143509652e-29,-0.994646765505793,0.119,0.231,2.96812817822928e-25
"Ifitm2",1.65440123494008e-29,-1.08480620398081,0.146,0.257,3.0644474074795e-25
"Trps1",4.78509477280888e-29,0.68744385254407,0.529,0.409,8.86343104767388e-25
"Rgs8",5.44495079270553e-29,-2.05350511560748,0.023,0.086,1.00856823533285e-24
"Lgals1",9.41624231992933e-29,-0.433468330454929,0.707,0.79,1.74417056492051e-24
"H2-T23",1.20763328809092e-28,-0.469820092817914,0.539,0.641,2.23689913953082e-24
"Gm10076",1.34401772250162e-28,-0.81385300906109,0.191,0.306,2.48952402738974e-24
"Gm2682",1.53819732252228e-28,0.370396498731294,0.855,0.764,2.84920290050803e-24
"Plin2",2.64602819623095e-28,1.71740302771612,0.208,0.129,4.90123802787859e-24
"Abcb9",5.49858361726172e-28,-0.870133759418245,0.165,0.279,1.01850264342539e-23
"Myo10",6.58500090121531e-28,-0.689024304041331,0.087,0.177,1.21973971693211e-23
"Eva1b",8.18718819337041e-28,-0.902815879875305,0.162,0.268,1.516512869058e-23
"Ly6c2",1.0671026726537e-27,-0.43485846953011,0.834,0.881,1.97659428055645e-23
"Rack1",1.50492933978001e-27,-0.254049025137363,0.965,0.98,2.78758061607452e-23
"Cd3g",1.78449567807308e-27,-0.345749323553806,0.927,0.932,3.30542134449476e-23
"Fgf13",1.97353929376526e-27,0.595217697393267,0.499,0.362,3.6555868338414e-23
"Rpl39",2.29572751223244e-27,0.245287489362604,0.999,0.999,4.25237607090815e-23
"Chn2",4.10034443032645e-27,-0.84712981345849,0.126,0.233,7.59506798829369e-23
"AA467197",5.53040656351354e-27,-0.974131137203081,0.132,0.24,1.02439720775961e-22
