"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm11361",1.83580163009522e-81,3.6442862459308,0.408,0.04,3.40045535942537e-77
"Gm10260",1.35381546054317e-74,5.97323476849593,0.284,0.004,2.50767237756411e-70
"H2-Q7",4.46304099870449e-69,-0.864740235077982,0.896,0.978,8.26689084190032e-65
"Rpl13a",8.99476516998238e-54,-0.563564226550718,0.997,0.999,1.66610035243584e-49
"Rps18",5.76363981764362e-43,-0.492582945064912,1,1,1.06759900342213e-38
"H2-D1",3.35385144218023e-42,0.456659242755026,1,1,6.21233902635045e-38
"Ubb",2.47000884966316e-33,-0.512876852325991,0.977,0.996,4.57519739223108e-29
"Stat4",4.2950360329421e-32,0.94653197495646,0.87,0.701,7.95569524381866e-28
"H2-Q6",8.6489689060045e-32,-0.990300843830398,0.427,0.698,1.60204851045921e-27
"Ly6c2",7.88744798644281e-30,-0.582252446788705,0.826,0.952,1.4609919905288e-25
"H2-T22",2.43968436177282e-28,-0.856251069718337,0.561,0.773,4.5190273433118e-24
"Gzmb",7.9571514678062e-28,-0.673381463766288,0.787,0.936,1.47390316638174e-23
"Klrc2",7.27890825863664e-27,0.939721442839567,0.637,0.371,1.34827217674727e-22
"Xist",1.15774160189005e-26,1.91322329911735,0.292,0.085,2.14448476918095e-22
"Lgals3",5.84019192301455e-26,-0.676651311274915,0.674,0.854,1.08177874989999e-21
"Klri2",3.79812696706384e-25,-3.63926517724351,0.019,0.165,7.03527058109236e-21
"Pdk4",1.103156036107e-24,7.53939967376296,0.087,0,2.043375925681e-20
"Spp1",3.24569148716113e-23,2.56507306765239,0.328,0.153,6.01199434166857e-19
"Odc1",4.50884567481977e-23,0.942721271672571,0.649,0.5,8.35173484346867e-19
"Plin2",9.69863858204356e-23,2.26175800518768,0.323,0.154,1.79647882455193e-18
"Ugcg",4.08570162070632e-22,-0.657933653275112,0.781,0.881,7.56794511203432e-18
"BC023719",4.87893617135806e-21,5.44155235036482,0.084,0.001,9.03725347020653e-17
"Rpl35",7.3659327919735e-21,-0.491267462483979,0.856,0.926,1.36439173105725e-16
"Clca3a1",7.77886580729145e-21,6.19362483692123,0.073,0,1.4408793134846e-16
"Emb",1.27051345852953e-20,1.514025462062,0.432,0.234,2.35337207923425e-16
"Abcb9",2.62576265965273e-20,-1.06731110302856,0.241,0.466,4.86370017447475e-16
"Dlg2",3.21767453256907e-20,1.07483868447072,0.413,0.196,5.96009853667769e-16
"Tmem163",6.04041854304214e-20,-0.568176730615561,0.703,0.868,1.1188667267277e-15
"Tpt1",8.47312237272669e-19,-0.227955850292665,1,1,1.56947645710016e-14
"Bach2",1.84489947904747e-17,0.937396553241636,0.548,0.34,3.41730730503963e-13
"Serpine2",4.53146427581618e-17,1.57308026736612,0.362,0.189,8.39363127809431e-13
"Gm47015",7.90603228852181e-17,1.83105475753652,0.208,0.067,1.4644343608029e-12
"Cmss1",9.21274561721536e-17,-0.533356668672352,0.769,0.872,1.7064768706768e-12
"Nfkbia",1.56383869637776e-16,0.806055312329126,0.621,0.421,2.89669841730052e-12
"Rpl41",4.21166183298172e-16,0.304822522274082,1,1,7.80126121323205e-12
"Rps26",4.4179742864548e-16,0.351769077665272,0.991,0.992,8.18341377080022e-12
"Eno1",9.41302322164174e-16,-0.846377513320063,0.394,0.553,1.7435742913447e-11
"Nrgn",2.32266297918728e-15,1.19985679063275,0.421,0.266,4.30226863634859e-11
"Rpl17",3.19792584672112e-15,-0.263089432566085,1,0.999,5.92351804588154e-11
"2900026A02Rik",4.03599134001944e-15,-1.81614293932759,0.062,0.199,7.47586675911801e-11
"mt-Nd4l",4.33093915505201e-15,1.03247004510665,0.388,0.218,8.02219859690284e-11
"Styk1",4.38657701108923e-15,-1.1528888962444,0.189,0.371,8.12525659764059e-11
"Il7r",1.04581098633611e-14,0.743637033639272,0.682,0.529,1.93715568999037e-10
"mt-Nd4",1.04845685168267e-14,0.445322569819059,0.938,0.881,1.94205662637182e-10
"Rpl9",1.82069899505739e-14,-0.224816521610153,0.998,1,3.3724807485448e-10
"Airn",3.32318215849163e-14,-0.861657598579957,0.301,0.49,6.15553031217404e-10
"Junb",4.70257458272766e-14,0.707098965724725,0.804,0.675,8.71057889958644e-10
"Klrc3",8.53871234738002e-14,2.20956638079025,0.127,0.03,1.5816256881052e-09
