"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",1.36787995140447e-74,-0.602200623079822,0.991,0.993,2.5337240339865e-70
"Plin2",7.49125178761994e-73,1.58369702624855,0.775,0.658,1.38760456862084e-68
"Gm11361",5.87468746705882e-71,3.34701256430345,0.264,0.028,1.08816835952331e-66
"Gm10260",2.55589708525812e-67,7.8823442973,0.16,0,4.73428817102362e-63
"H2-D1",5.33890604444102e-54,0.521125527178808,0.999,0.998,9.8892556661181e-50
"Ubb",1.41630739521831e-51,-0.674384876699611,0.934,0.969,2.62342618816288e-47
"mt-Co1",2.38064773268001e-46,-0.3753362310005,0.998,0.999,4.40967379524318e-42
"H2-Eb1",3.12344746982428e-41,-1.1595189254836,0.629,0.668,5.78556174835552e-37
"Rpl10",5.91807068921711e-41,-0.482226414686798,0.948,0.976,1.09620423376368e-36
"Rps18",1.73363955367589e-37,-0.453742843861513,0.981,0.99,3.21122054527385e-33
"H2-T23",2.55037052401855e-37,-0.744104501681929,0.614,0.784,4.72405132163957e-33
"mt-Co2",2.74963216063309e-37,-0.347320844939472,0.999,0.997,5.09314365114068e-33
"Pdk4",4.08775795208634e-36,8.29377054302647,0.086,0,7.57175405464953e-32
"Hspa1b",2.66059531793217e-33,-1.00639531302771,0.459,0.651,4.92822070740576e-29
"Ucp2",6.74019575364e-33,0.624546539832357,0.919,0.872,1.24848645944674e-28
"Hspa1a",5.43432154941015e-30,-0.832235216209927,0.618,0.758,1.00659938059724e-25
"H2-T22",8.16289466165416e-27,-1.07252259019573,0.305,0.472,1.5120129781782e-22
"BC023719",1.26737065489472e-25,5.56041620241264,0.068,0.001,2.34755066406149e-21
"Abhd12",3.9192944880013e-25,1.20934176186576,0.381,0.233,7.25970918012481e-21
"Eno1",2.02737666704104e-24,-0.872058346838101,0.337,0.518,3.75530980036012e-20
"Shtn1",2.69938719841945e-21,1.17937501385706,0.322,0.178,5.00007490763235e-17
"Cmss1",5.21295558696832e-21,-0.575652786784473,0.586,0.74,9.65595763374143e-17
"Rpl36",1.47124660341815e-20,0.325499128299643,0.986,0.966,2.72519008351145e-16
"Cd44",7.6173982168976e-20,0.584906984126835,0.846,0.78,1.41097067171594e-15
"Xist",1.72806774057398e-19,-0.565873297583109,0.525,0.694,3.20089987586518e-15
"Rpl37",2.18731457384536e-19,0.300841420306151,0.993,0.989,4.05156278513376e-15
"mt-Nd1",5.4448861329345e-19,-0.430110000962315,0.832,0.894,1.00855625840346e-14
"mt-Cytb",7.81778925429212e-19,-0.371304332504174,0.947,0.956,1.44808910357253e-14
"Rpl35a",5.73828622129633e-18,0.226145797492998,1,1,1.06290275677072e-13
"mt-Atp6",8.90961873943752e-18,-0.288613618976456,0.995,0.996,1.65032867910601e-13
