"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plin2",1.28101541571993e-88,1.11499244068153,0.912,0.86,2.37282485453802e-84
"Ucp2",8.05932683615546e-83,0.957891710268401,0.869,0.71,1.49282910986108e-78
"Ubb",9.05703760519559e-76,-0.686024761021365,0.938,0.979,1.67763507561038e-71
"Gm11361",3.76463494319204e-65,3.6443513621581,0.164,0.014,6.97323330527461e-61
"mt-Co3",5.27193700468794e-64,-0.522073732490221,0.997,0.998,9.76520891378347e-60
"Gm10260",2.52413988306127e-62,8.00074921068192,0.102,0,4.67546430539439e-58
"H2-D1",3.89988816000832e-51,0.469237024634313,0.995,0.995,7.2237628387834e-47
"mt-Co1",4.48219440408892e-47,-0.357155002873271,1,1,8.30236869469391e-43
"Cd44",3.56083852528674e-45,0.719197407241922,0.9,0.815,6.59574120038864e-41
"Rpl10",2.48431140878666e-37,-0.459693652903935,0.891,0.935,4.60169002249553e-33
"H2-T22",3.94282869162099e-37,-0.881704835837497,0.413,0.59,7.30330158548956e-33
"Cmss1",6.28494008177643e-31,-0.621601060152608,0.657,0.792,1.16415945134745e-26
"Cbfa2t3",1.53178915907629e-30,1.91387746832168,0.169,0.05,2.83733305935702e-26
"Noct",1.72443539322085e-30,1.04928385400171,0.416,0.255,3.19417167886297e-26
"Slfn4",1.84126894320345e-29,-0.575863346864594,0.635,0.791,3.41058246349575e-25
"H2-T23",2.28109913440389e-29,-0.541116322407056,0.701,0.802,4.22527992665632e-25
"Jdp2",2.3976607112442e-29,1.27743581249743,0.337,0.177,4.44118693543764e-25
"Pdk4",3.48183319158367e-28,7.99090142472557,0.046,0,6.44939962077043e-24
"Rpl37a",2.70730416875071e-27,0.315209957823613,0.988,0.987,5.01473951177694e-23
"mt-Co2",3.27790389400635e-27,-0.308056722878548,1,0.999,6.07166138286797e-23
"BC023719",3.44628873524293e-26,5.80107686584555,0.047,0,6.38356062429048e-22
"mt-Atp6",3.4968107151487e-25,-0.300235978781581,1,0.997,6.47714248766993e-21
"Eno1",5.60450783006795e-25,-0.715278312202046,0.434,0.582,1.03812298536349e-20
"Gab1",5.66833308490377e-22,0.705709882865534,0.592,0.48,1.04994533731672e-17
"Il15",6.28754202562578e-22,-0.674671155557093,0.386,0.548,1.16464140940666e-17
"Ftl1",8.69238517927312e-22,-0.461363802385112,0.996,0.999,1.61009050675676e-17
"Shtn1",1.33650019491501e-21,1.29282053860652,0.217,0.106,2.47559931104107e-17
"Tgm2",1.75242691836305e-21,0.657976245247673,0.711,0.621,3.24602038088388e-17
"Rpl37",8.04680417304628e-21,0.313277184454725,0.967,0.955,1.49050953697336e-16
"Rpl35a",6.54377069147756e-20,0.258942701348387,0.997,0.993,1.21210264518239e-15
"Lcp1",8.84005105174024e-20,0.358679831411623,0.884,0.786,1.63744265631385e-15
"Actb",2.01238721607227e-19,0.264716459315235,1,1,3.72754484033067e-15
"Rpl35",2.09275511834657e-19,-0.429508369020227,0.657,0.731,3.87641030571336e-15
"Rps26",2.56130718253536e-19,0.324306715818689,0.949,0.92,4.74430929421025e-15
"Tm6sf1",2.94423199142094e-19,0.583994332876755,0.585,0.447,5.45360091770901e-15
"Hspa1a",4.99628917363801e-19,-0.847792253554522,0.461,0.568,9.25462643632969e-15
"Isg15",7.50475237651928e-19,-0.394782766143054,0.9,0.946,1.39010528270267e-14
"Sat1",4.1214879940453e-18,-0.413827920021512,0.897,0.906,7.6342322113701e-14
"Rps18",7.66572102160763e-18,-0.363591042176217,0.927,0.95,1.41992150483238e-13
"Rps27",8.1306632610567e-18,0.281395444285303,0.97,0.962,1.50604275584553e-13
"Rpl41",1.04233949344295e-17,0.235441826243406,0.996,0.993,1.93072544370438e-13
"Hspa1b",1.35642953729103e-17,-0.968176925488119,0.311,0.437,2.51251443192417e-13
