"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-D1",1.78074497519528e-129,0.691964731422987,1,0.99,3.29847391755422e-125
"Gm11361",2.8655736951033e-122,3.51606997626888,0.461,0.049,5.30790215543985e-118
"Gm10260",5.04828176214726e-114,7.58786065933689,0.31,0.001,9.35093230802536e-110
"Rps18",1.10870682295564e-54,-0.565935679648876,0.997,1,2.05365764816072e-50
"Rpl13a",1.26806367640614e-46,-0.464122522327046,0.985,0.994,2.3488343478071e-42
"mt-Co3",7.2587565863427e-44,-0.469887070750988,0.995,0.984,1.34453948248826e-39
"Ubb",1.11752920750542e-43,-0.541784646575169,0.97,0.987,2.06999935106229e-39
"Rpl35",3.46192015380278e-43,-0.621653553569845,0.838,0.878,6.41251470088889e-39
"Emb",7.87669056535241e-40,0.828686251067723,0.878,0.723,1.45899939342023e-35
"Rpl10",3.77977785520395e-38,-0.510831412901941,0.965,0.985,7.00128252119427e-34
"Rpl5",1.64917972081731e-29,-0.487065284475629,0.874,0.906,3.0547755968699e-25
"Ltb",2.65637981653587e-26,0.766265114874462,0.687,0.48,4.9204123341694e-22
"BC023719",2.47837648346557e-25,6.25891213677176,0.07,0,4.59069676032328e-21
"Klra1",3.00817301262894e-25,0.619134461300044,0.397,0.207,5.57203887129259e-21
"Gzma",4.0592317000922e-24,-0.775916066667274,0.552,0.724,7.51891487808079e-20
"Klri2",1.37174102616684e-23,-1.22248594880342,0.152,0.335,2.54087590276884e-19
"Klrb1b",3.11853694864792e-23,-0.97811358388429,0.355,0.526,5.77646598998054e-19
"St6galnac3",3.44569951619097e-23,1.15419288540525,0.482,0.282,6.38246921384054e-19
"Plin2",1.9208986997299e-21,2.07902078237559,0.288,0.172,3.5580806615097e-17
"Clca3a1",8.61161860562729e-21,5.98882297340401,0.057,0,1.59513011432034e-16
"Ftl1",9.26047518019366e-21,-0.5887744469497,0.729,0.83,1.71531781762727e-16
"Hilpda",1.67963548639679e-20,1.2969863249863,0.411,0.251,3.11118881145277e-16
"Gm8909",1.37925122169682e-19,5.87864005565359,0.054,0,2.55478703794902e-15
"Tpt1",2.97576840696944e-19,-0.233065970454127,1,1,5.5120158202295e-15
"Rack1",9.37121613136867e-19,-0.341236767764074,0.967,0.98,1.73583036401342e-14
"mt-Co2",1.25274186512252e-18,-0.231727179590793,0.998,0.985,2.32045375676645e-14
"Ptpn22",1.27817609234019e-18,0.423501495799857,0.927,0.862,2.36756557584173e-14
"Rpl12",1.86102250762839e-18,-0.379392999501017,0.988,0.989,3.44717199088008e-14
"Rps6",2.27372219132663e-18,-0.350577165946147,0.949,0.963,4.21161561499432e-14
"Cmss1",3.34067517985011e-18,-0.537942645502805,0.758,0.833,6.18793263563636e-14
"Stat4",1.32694366953235e-17,0.489751092285111,0.877,0.779,2.45789775907477e-13
"Ern1",1.71752924911792e-17,0.607298830699257,0.806,0.697,3.18137942814112e-13
"Eno1",2.05667064361844e-17,-0.848069427578587,0.298,0.454,3.80957103317444e-13
"Pdk4",6.93271242266932e-17,7.06123146893206,0.046,0,1.28414632205104e-12
"Ccnd3",2.20616395138092e-16,0.454376272934447,0.825,0.682,4.08647748714289e-12
"mt-Nd4l",3.97097560178889e-16,0.76064284625514,0.453,0.288,7.35543810719355e-12
"Zyg11b",9.27174657319159e-16,0.908893804839083,0.405,0.248,1.71740561775228e-11
"Dennd4c",1.42581284596722e-15,0.648655329213611,0.63,0.507,2.64103313458507e-11
"Klrc3",1.48829679138229e-15,1.42645117689743,0.186,0.071,2.75677214667742e-11
"Gramd3",1.79712578257841e-15,0.972281918084293,0.432,0.283,3.32881608706999e-11
"Zbtb20",6.17925427289767e-15,0.393652861828791,0.901,0.822,1.14458326896884e-10
"Atp10a",1.8979280323404e-14,0.563727136560438,0.658,0.51,3.51553209430413e-10
"Rpl17",2.10594653055362e-14,-0.25257345795432,0.996,0.999,3.90084475854448e-10
"Parp8",4.50501641883618e-14,0.52820671391114,0.69,0.536,8.34464191261025e-10
"Uba52",5.21357336899449e-14,0.668227212033743,0.449,0.291,9.6571019513885e-10
"Rbm3",7.68297417646608e-14,-0.411591272456931,0.808,0.85,1.42311730670681e-09
"Rgs2",9.8571516630054e-14,0.63972742187915,0.557,0.401,1.82584020253849e-09
"Odc1",1.61630301719442e-13,0.719806127344407,0.536,0.407,2.99387807874922e-09
"Celf2",3.52052474995389e-13,0.3159962696158,0.95,0.898,6.52106799433959e-09
"Klra4",5.15979145452491e-13,0.117482836023222,0.486,0.36,9.55748171121649e-09
"Ssh2",5.55719500136578e-13,0.470708008345729,0.764,0.634,1.02935923010298e-08
"H2-Q7",8.52934013241283e-13,-0.33088141083491,0.883,0.869,1.57988967272683e-08
"H2-Q1",1.05041129665127e-12,5.22328822704104,0.034,0,1.94567684478716e-08
"Hsp90ab1",1.4153974206159e-12,-0.275043293236706,0.961,0.966,2.62174064220682e-08
"Rpl36",1.82077401456192e-12,0.216822336924825,0.997,0.993,3.37261970717305e-08
"Rnaset2b",1.93943931244788e-12,0.817421313653779,0.325,0.192,3.59242343844722e-08
"Klra3",2.08503072876705e-12,-1.4932303256642,0.09,0.178,3.86210241889521e-08
"Tgfb1",4.08207834215581e-12,0.509106028519119,0.69,0.572,7.56123371317522e-08
"Ptprc",7.07929892566373e-12,0.233754319175907,0.995,0.977,1.31129854000069e-07
"mt-Co1",1.26228435061295e-11,-0.170008993857604,0.998,0.983,2.33812930264037e-07
"Irak2",1.59105501340178e-11,0.422776816379131,0.717,0.584,2.94711120132412e-07
"Nfkb1",1.6149740028858e-11,0.41200546416655,0.823,0.717,2.99141634554536e-07
"Dennd4a",1.82307540879074e-11,0.295349639194526,0.984,0.967,3.37688257970309e-07
"mt-Nd1",1.94131254215831e-11,-0.364563379290528,0.851,0.875,3.59589322183984e-07
"Igkc",2.30961658736737e-11,1.40635432817142,0.141,0.054,4.27810280478058e-07
"Hip1r",2.32802708166064e-11,0.515748746808049,0.51,0.363,4.31220456336e-07
"mt-Atp6",2.48263224678153e-11,-0.167438864831629,0.998,0.985,4.59857971071344e-07
"Rps21",2.50039979421142e-11,0.220185614677923,0.994,0.994,4.63149053881782e-07
"Rpl39",2.70930728441164e-11,0.210602014012973,0.998,0.994,5.01844988291568e-07
"Rps14",3.15926591705014e-11,-0.181851591046984,0.999,1,5.85190825815198e-07
"mt-Cytb",3.17719134949337e-11,-0.287084957259435,0.972,0.96,5.88511153666658e-07
"Rpl14",3.41489684010452e-11,-0.262397100294978,0.957,0.971,6.32541341692561e-07
"Rpl37",3.43905062516062e-11,0.201172259180525,0.998,0.995,6.37015347298502e-07
"Dgat1",4.16883640552116e-11,0.6285233442403,0.531,0.403,7.72193567394685e-07
"Cd7",4.52856978289912e-11,0.816192748890998,0.309,0.183,8.38826980886404e-07
"Dock8",4.91436525657304e-11,0.355988521137002,0.875,0.819,9.10287876475025e-07
"Kdm2b",5.23234522156707e-11,0.582472491586364,0.516,0.375,9.69187305390869e-07
