"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Plin2",8.58859875496182e-23,1.35028321325229,0.754,0.649,1.59086614738158e-18
"Ftl1",7.16018195605086e-15,-0.559259370527313,0.995,0.998,1.3262805037193e-10
"Ubb",1.82865989388146e-14,-0.527112114823922,0.968,0.99,3.38722672143663e-10
"Ifit3",1.52533872659273e-13,-0.839320679919646,0.415,0.647,2.82538492326772e-09
"Isg15",4.4796381619626e-12,-0.665020286483265,0.817,0.918,8.29763376740332e-08
"Pde4b",7.59750201907669e-11,0.630337122843481,0.749,0.569,1.40728529899358e-06
"Ifitm3",1.44094646853159e-10,-0.514409537530052,0.947,0.989,2.66906514366106e-06
"Rtp4",2.62532197847335e-10,-0.717802732084538,0.503,0.675,4.86288390072619e-06
"Slfn5",2.92052054925275e-10,-0.689551401998356,0.54,0.717,5.40968021338087e-06
"Ifi204",3.24756970388678e-10,-0.70985770621803,0.553,0.709,6.01547336250948e-06
"Fbxl5",9.02481061736968e-10,0.839099841047632,0.667,0.516,1.67166567065539e-05
"Ifi207",3.03858432854446e-09,-0.781824033650215,0.426,0.596,5.6283697517629e-05
"S100a8",4.18840009577621e-09,0.840371881815413,0.897,0.851,7.75817349740628e-05
"Gm13822",4.73193121272807e-09,-1.0063575806715,0.286,0.459,8.76495618533621e-05
"Gpcpd1",8.62403741052097e-09,0.883695907695339,0.563,0.407,0.00015974304495508
"Rsad2",1.12686337031167e-08,-0.623963382202328,0.661,0.784,0.000208728902082831
"Msrb1",1.4390770646312e-08,-0.442760362367505,0.791,0.873,0.000266560244681638
"Thbs1",2.00798393072108e-08,-0.530169031678924,0.553,0.73,0.000371938863487465
"Ifit2",3.41607516768358e-08,-0.817684811624415,0.291,0.469,0.000632759603310029
"Ifi209",4.46340044932502e-08,-0.75890730430171,0.341,0.521,0.000826755665228474
"H2-T22",5.00065908733277e-08,-1.26275274864859,0.161,0.266,0.000926272082746648
"Ifit1",5.50720338241323e-08,-0.703368270271087,0.452,0.619,0.0010200992825244
"Npc2",6.0712690597686e-08,-0.62633246731839,0.81,0.884,0.00112458116794094
"Isg20",6.2996142138342e-08,-0.669229722194446,0.563,0.665,0.00116687754082851
"Bst2",9.44595612111873e-08,-0.515873362677561,0.653,0.801,0.00174967445231482
"Fxyd5",1.06609324300784e-07,-0.354077097104594,0.989,0.998,0.00197472451402342
"Wfdc21",1.62141860582633e-07,1.42766510760659,0.206,0.09,0.0030033536835721
"Tyrobp",1.66820584821171e-07,-0.24734519822187,0.979,1,0.00309001769264254
