"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ubb",4.92658758474349e-11,-0.860029674073488,0.978,0.992,9.12551818322037e-07
"H2-D1",6.3404024484593e-10,0.50193434146714,1,1,1.17443274552812e-05
"Gm10260",4.18859247660079e-09,4.65897924129308,0.172,0,7.75852984440764e-05
"Gm11361",2.20829339268007e-07,3.7714539705515,0.183,0.008,0.0040904218512613
"Icos",2.64578613648821e-07,1.02575003930759,0.78,0.622,0.00490078966061712
"Hsp90aa1",1.1316976056764e-06,-1.0983473063218,0.806,0.866,0.0209624347499439
"Hspa1b",2.12193474560168e-06,-1.12078984909262,0.457,0.598,0.0393045972927798
"mt-Co3",2.41365339993024e-06,-0.46948528330122,1,1,0.0447081019269079
"mt-Co2",1.31393380879786e-05,-0.388639080541281,1,1,0.243379959403628
"Hspa1a",2.04759918550982e-05,-1.17783520911497,0.452,0.583,0.379276797131985
"Rps21",7.48079869969418e-05,0.440307345634756,1,0.984,1
"Carnmt1",9.91867914506116e-05,1.03448837638529,0.269,0.094,1
"H2-Q7",0.000141781611200495,-0.563649513083599,0.855,0.921,1
"Fosb",0.000142062730175255,-0.910239040400689,0.452,0.669,1
"Csnk1a1",0.00014436765496375,0.435850938767058,0.618,0.394,1
"Arfgap1",0.000144449376345671,1.44952587566413,0.059,0.008,1
"Gadd45b",0.000245457695409328,-1.09139606409781,0.452,0.567,1
"Rgs1",0.000268097118095363,-0.770834580490084,0.602,0.512,1
"Ifitm3",0.000270216386723484,-1.6379369655862,0.145,0.323,1
"Vopp1",0.000300733872611777,2.35641647127265,0.167,0.031,1
"Atf3",0.000333988888898087,-1.60632735906938,0.129,0.26,1
"Rplp2",0.000367115924257324,0.363463276765722,0.995,1,1
"Blzf1",0.000370051760069143,1.32399499358028,0.054,0.008,1
"Kit",0.000421039140557222,0.227133454327687,0.043,0.008,1
"Arhgap15",0.000436039878807948,0.293835044119777,1,0.953,1
"Pde4b",0.000445069913426396,-0.621681074828285,0.677,0.732,1
"Pstk",0.000445491602972695,1.68656507296498,0.167,0.039,1
"Irf4",0.000465341880881413,-1.86241813065061,0.091,0.244,1
"Hsp90ab1",0.000466199182539317,-0.442961077310768,0.968,0.992,1
"Myo16",0.000481520211679612,-2.20758641081286,0.043,0.173,1
"Ubc",0.000514749742893236,-0.71218530506612,0.833,0.921,1
"Ier5",0.000530912104244573,-0.996989855087878,0.344,0.528,1
"Gramd3",0.000573776680258307,1.59311672929298,0.312,0.134,1
"Dedd",0.00057752307275427,3.14996559380523,0.065,0,1
"Gm26917",0.000588195309436389,0.833230168138187,0.516,0.299,1
"Nt5e",0.000639194791643463,0.524487933345357,0.328,0.15,1
"Zfp644",0.000720639864156373,1.04676670616373,0.403,0.205,1
"S100a10",0.000723741979930405,-0.473530804294301,0.968,0.992,1
"Exosc1",0.000736154065618837,1.99384639188794,0.156,0.031,1
"Arnt",0.000777274130006635,0.657634070994335,0.247,0.11,1
"Rab10",0.000793118139871824,0.562226008413497,0.522,0.315,1
"Crebzf",0.000809159948504205,-1.19202015342339,0.129,0.228,1
"Il7r",0.00083411618717463,0.399301801022033,0.989,0.921,1
"Reps1",0.000851502799700056,1.07245622658431,0.274,0.11,1
"Rpap2",0.000862732654006716,2.81875968532985,0.118,0.016,1
"Lrch4",0.00090328112007489,0.51365621308385,0.118,0.055,1
"Rasal3",0.000921014688034875,0.744981759190306,0.339,0.165,1
"Rpl10",0.00101979081329942,-0.436863265573228,0.892,0.929,1
"Kctd17",0.0010286790316829,3.03448837638529,0.059,0,1
"Il2rb",0.00103038136659319,-0.2724893770361,0.591,0.535,1
"Skap1",0.00107506918506879,0.383390773864818,0.941,0.819,1
"Gm2a",0.00115872511583877,1.09861871380501,0.274,0.11,1
"Hsp90b1",0.00125719878293198,0.565455987465718,0.823,0.654,1
"Pde3b",0.00127637367149367,0.518846936168041,0.72,0.52,1
"Golga1",0.00131514463544057,1.03448837638529,0.113,0.031,1
"Cstf2",0.00134991103785259,2.69745338910772,0.097,0.008,1
"Dohh",0.00134991103785261,2.69745338910772,0.097,0.008,1
"Jun",0.00138941859794093,-0.566749664048696,0.677,0.835,1
