"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H2-Q7",3.41630102446772e-46,-0.712304701875484,0.931,0.975,6.32801438762156e-42
"Ubb",9.90751668938537e-35,-0.63473195843281,0.979,0.991,1.83516931637485e-30
"Gm11361",1.09853868106887e-28,3.58518762283145,0.179,0.016,2.03482319894387e-24
"Gzmb",6.45418213453973e-23,-0.823855248202658,0.712,0.862,1.19550815678079e-18
"Gm10260",1.29190965573721e-21,6.05467290613267,0.091,0,2.39300425532204e-17
"H2-D1",6.50261999207919e-21,0.353007669409601,1,1,1.20448030113283e-16
"H2-T22",7.0940527545414e-21,-0.998960056216084,0.379,0.566,1.3140313917237e-16
"H2-K1",5.01798941267998e-16,-0.283490848846847,1,1,9.29482178910713e-12
"H2-T23",2.53350163991643e-14,-0.615088178311769,0.559,0.68,4.69280508761721e-10
"Cmss1",6.70174403992588e-14,-0.565485126221852,0.689,0.787,1.24136404851547e-09
"Lgals1",2.60110133215422e-13,-0.531079247066268,0.819,0.884,4.81801999754926e-09
"Arhgap15",3.4869073486343e-13,0.365251968350071,0.974,0.945,6.45879848187531e-09
"Adk",6.86272234190717e-13,0.932842192891402,0.427,0.252,1.27118205939147e-08
"H2-Q6",4.38121345860388e-12,-0.650589017847371,0.414,0.583,8.11532168937197e-08
"Eno1",8.7793201855762e-12,-1.04013191045884,0.208,0.353,1.62619347797428e-07
"Igkc",5.31975925890804e-11,1.82703240683407,0.177,0.071,9.85379007527536e-07
"Rps18",6.82753933218586e-11,-0.326048687173762,0.978,0.992,1.26466511050079e-06
"Stat5b",9.60330481742634e-11,0.552899034746633,0.692,0.547,1.77882015133188e-06
"Emb",9.63921332109454e-11,0.850576823232774,0.545,0.395,1.78547148346634e-06
"Sntb1",4.00101234257706e-10,0.644578730867766,0.625,0.506,7.41107516215549e-06
"Zbp1",4.20896472097294e-10,-0.725109845135318,0.379,0.492,7.79626535265818e-06
"mt-Co3",4.65986600355562e-10,-0.340753853550799,0.99,0.998,8.63146979838608e-06
"Hspa1b",5.50569808013664e-10,-0.983880334636723,0.203,0.335,1.01982045538371e-05
"Gm8909",9.17023288526083e-10,4.66764978302342,0.039,0,1.69860223733686e-05
"Clca3a1",1.55357270285796e-09,4.63017507760476,0.038,0,2.87768271750379e-05
"Tpt1",1.82683983977821e-09,-0.222283080698942,0.997,1,3.38385543522117e-05
"Ftl1",1.94721387977039e-09,-0.432457779954602,0.789,0.829,3.6068242694987e-05
"Sh3bgrl3",6.46440385039575e-09,-0.323046911969522,0.901,0.945,0.00011974015252088
"Jcad",8.18817430104419e-09,-1.76585107482796,0.036,0.11,0.000151669552578241
"Isg20",8.22660981347279e-09,-0.662755930091614,0.338,0.481,0.000152381493574956
"Ddit4",1.07077602751156e-08,-0.811433560533746,0.297,0.404,0.000198339843575967
"Ly6a",2.08578199024299e-08,-0.257135037615665,0.928,0.972,0.000386349398052708
"March3",2.4181388489368e-08,0.896533318912307,0.324,0.194,0.000447911858988564
"Stat4",3.20524581263586e-08,0.577168349960506,0.613,0.481,0.00059370768187454
"Vim",3.42544370645409e-08,-0.390063749406914,0.867,0.925,0.000634494937746491
"Malt1",3.44185364618207e-08,0.495032456430031,0.745,0.663,0.000637534550882304
"Tut4",3.92235047125232e-08,0.454236910826426,0.741,0.633,0.000726536977790067
"Rpl13a",4.64086482127997e-08,-0.302453935464046,0.937,0.967,0.000859627390845689
"mt-Nd4",5.38802246746189e-08,0.425693922677864,0.824,0.751,0.000998023401647966
"Hspa1a",5.82370009221532e-08,-0.938215121721689,0.26,0.328,0.00107872396808104
"H2-Eb1",6.34942920423759e-08,-1.2172145062551,0.028,0.089,0.00117610477150093
"Fabp5",6.44665877406787e-08,-1.13004586886175,0.127,0.224,0.00119411460472059
"Mbnl1",6.48558382471892e-08,0.330544833285527,0.965,0.942,0.00120132469185269
"Ptprc",8.07447319745925e-08,0.235134897408787,0.992,0.983,0.00149563467036538
"Rtp4",9.31432547666121e-08,-0.734266444565251,0.239,0.368,0.00172529250804196
"mt-Nd4l",1.52814416382601e-07,0.986318887830035,0.221,0.114,0.00283058143465493
"Maf",1.85825282717822e-07,-0.394126414563267,0.681,0.768,0.00344204171178221
"Eif1",1.90598327428154e-07,-0.255615273198818,0.969,0.984,0.00353045281895169
"Ttn",2.23888446299849e-07,1.36410021745092,0.148,0.063,0.0041470856908121
"Npc2",2.93889924332121e-07,-0.396227801019302,0.758,0.817,0.00544372306840387
"Hist1h2bc",3.00350185226484e-07,-2.26982913241852,0.028,0.088,0.00556338648095017
"Hsp90aa1",3.28220947038849e-07,-0.471431225261017,0.775,0.824,0.0060796366020006
"Eya3",3.69507584368498e-07,0.847911136509986,0.318,0.212,0.00684438898525768
"Ehd1",4.81915295010001e-07,-0.792250167070962,0.148,0.257,0.00892651700947024
"S100a4",4.91747876974516e-07,-0.373688789405008,0.828,0.895,0.00910864592519896
"Clint1",5.01185774654659e-07,0.483856689114781,0.669,0.556,0.00928346410392826
"Ubc",5.25412841635345e-07,-0.439162573269386,0.669,0.726,0.0097322220656115
"Bst2",5.29886264184613e-07,-0.388294495382898,0.686,0.76,0.00981508327149158
"Hipk2",6.20875468998279e-07,0.747054727326256,0.276,0.163,0.0115004763122551
"Fam169b",9.0641987373732e-07,0.482100104623288,0.521,0.389,0.0167896153212364
"Crlf3",9.27353107480533e-07,0.528446495728223,0.62,0.522,0.0171773616098619
"Ctla4",1.20089480866831e-06,0.214615935584276,0.825,0.724,0.0222441745409631
"Rap1b",1.31006629988486e-06,-0.292834298345652,0.817,0.87,0.0242663580727672
"Kat2b",1.83383633575758e-06,0.532327754206615,0.509,0.389,0.0339681504472377
"Aff3",1.98536418874212e-06,1.85500056129631,0.1,0.038,0.0367749008680703
"Ifi27l2a",2.19749739685138e-06,-0.247844991044198,0.99,0.995,0.0407042442818781
"Ahcyl2",3.25006783802099e-06,0.643100082296768,0.411,0.306,0.0602010065636627
"Isg15",3.40425646967549e-06,-0.70619040050641,0.385,0.484,0.063057042587799
"Trat1",3.67365811449538e-06,0.611944786120856,0.22,0.125,0.0680471692547979
"Rpl37",3.70252071055114e-06,0.271064730060261,0.985,0.981,0.0685817911215388
"Ddb2",3.94459358024436e-06,0.956483658289272,0.193,0.121,0.0730657068868663
"Ifi47",4.15571178209633e-06,-0.637031498333709,0.268,0.368,0.0769762493397703
"St6galnac3",4.20653217430267e-06,0.623329058981592,0.47,0.361,0.0779175954646083
"Hif1a",4.55253309972747e-06,0.326003453521555,0.903,0.848,0.0843265706062519
"Mdfic",4.61614181955043e-06,-0.441429663198363,0.529,0.646,0.0855047949235326
"Prrc2c",4.70705384118545e-06,0.327174140357188,0.831,0.759,0.0871887583002781
"Crlf2",6.18508405520146e-06,-0.559688460917827,0.326,0.426,0.114566311954497
"S100a6",7.18205918777196e-06,-0.338884549133019,0.872,0.926,0.1330332823351
"Il18r1",9.4715962457346e-06,0.690291704912534,0.337,0.234,0.175442377259742
"Slamf6",9.97352083084938e-06,1.00115739680567,0.198,0.113,0.184739526349823
"Gabarap",1.1938263831693e-05,-0.409969709386729,0.525,0.614,0.22113246095445
"Zcchc7",1.20870933185984e-05,0.393866647428008,0.608,0.489,0.223889229540399
"S1pr1",1.29970449768506e-05,1.27331319260801,0.133,0.064,0.240744264106204
"Clic1",1.38788765775144e-05,-0.25584765277252,0.839,0.876,0.2570784308453
"Gramd3",1.38923811538606e-05,0.64751179275863,0.408,0.306,0.25732857611296
"Ifit1",1.48005689804875e-05,-0.714836630395644,0.197,0.298,0.27415093922557
"Rpl24",1.48756024393903e-05,-0.197023824482126,0.991,0.997,0.275540783984826
"Arhgap31",1.50606505382796e-05,0.415173568888206,0.611,0.498,0.278968429920554
