"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Co3",7.73439930742186e-15,-0.578920469288048,1,1,1.43264278371375e-10
"Gm11361",7.33944682315809e-12,4.35614381022528,0.287,0.008,1.35948573505357e-07
"Rps18",2.32541371970637e-11,-0.485158443755666,1,0.992,4.30736383301212e-07
"Fcgr4",2.818774580055e-11,-0.451211111832328,0.007,0.047,5.22121615463587e-07
"H2-D1",6.26415571787114e-11,0.569369765590123,1,0.992,1.16030956362127e-06
"Rpl10",1.86123530187813e-09,-0.572391779423223,0.993,0.992,3.44756614966887e-05
"Rpl13a",7.0993478391068e-09,-0.527785636939932,0.98,1,0.000131501220023775
"Ms4a4a",2.89608263004146e-08,-1.45121111183233,0.007,0.047,0.00053644138556258
"Ubb",5.75892598249734e-08,-0.556038310983308,0.987,1,0.00106672585973798
"Clstn1",6.45495247809689e-08,0.993573730840567,0.04,0.008,0.00119565084751789
"Gm10260",7.48619065736208e-08,4.47162102764521,0.153,0,0.00138666709546318
"mt-Co1",1.78404301279096e-07,-0.362518138104045,1,1,0.00330458287259269
"H2-Eb1",4.67838717578744e-07,-1.32379428110087,0.487,0.648,0.00866577656571107
"mt-Co2",1.30276143076875e-06,-0.342599851865208,1,1,0.0241310499821296
"Gm21762",1.80666907920261e-06,0.877439996894676,0.873,0.711,0.0334649313540699
"H2-Q7",6.92595101326794e-06,-0.604197424264648,0.907,0.898,0.128289390618762
"Hmga1",8.18528190188022e-06,-0.965784284662087,0.007,0.031,0.151615976668527
"Plin2",1.23520810770942e-05,2.52962663108078,0.36,0.148,0.228797597791016
"S100a1",1.31531570953752e-05,0.508146903670325,0.027,0.008,0.243635928877635
"Hist1h1b",1.3153157095376e-05,0.508146903670325,0.027,0.008,0.24363592887765
"Optn",1.3153157095376e-05,0.508146903670325,0.027,0.008,0.24363592887765
"Spint1",1.31531570953771e-05,0.508146903670325,0.027,0.008,0.24363592887767
"mt-Nd1",3.10470299414885e-05,-0.483316414375189,0.973,0.977,0.575084135606192
"Klk1",3.34075229278092e-05,-0.688865924692291,0.587,0.82,0.618807547191809
"H2-T22",6.57070383824858e-05,-0.761692680068583,0.44,0.695,1
"Glyr1",7.69666561042557e-05,-0.201337954073774,0.26,0.391,1
"Ncald",8.76887113100585e-05,-0.80010625431996,0.533,0.758,1
"Dmkn",0.000128510266705948,-0.643856189774724,0.007,0.023,1
