"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ubb",1.31056325965523e-10,-0.860029674073488,0.978,0.992,2.42755632585938e-06
"H2-D1",7.47473829799239e-10,0.50193434146714,1,1,1.38454577493713e-05
"Icos",3.81578971224919e-07,1.02575003930759,0.78,0.622,0.00706798728399917
"mt-Co2",5.06854605903339e-07,-0.388639080541281,1,1,0.00938846786514755
"mt-Co3",7.96675249888069e-07,-0.46948528330122,1,1,0.0147568156536767
"Gm10260",8.60712753771125e-07,4.65897924129308,0.172,0,0.0159429823381025
"Gm11361",1.47445858383203e-06,3.7714539705515,0.183,0.008,0.0273113963483207
"Rps21",1.69933104669058e-06,0.440307345634756,1,0.984,0.0314767089778496
"Hsp90aa1",1.42737260122419e-05,-1.0983473063218,0.806,0.866,0.264392226924757
"Fosb",2.35233606156918e-05,-0.910239040400689,0.452,0.669,0.43572320868446
"Hsp90ab1",5.72728862671906e-05,-0.442961077310768,0.968,0.992,1
"Rplp2",5.82958551307253e-05,0.363463276765722,0.995,1,1
"H2-Q7",5.9744194190872e-05,-0.563649513083599,0.855,0.921,1
"Hspa1b",7.25642265087289e-05,-1.12078984909262,0.457,0.598,1
"Ifitm3",9.36533297036476e-05,-1.6379369655862,0.145,0.323,1
"Myo16",0.000107624411379633,-2.20758641081286,0.043,0.173,1
"Irf4",0.000162279740636558,-1.86241813065061,0.091,0.244,1
"Gm26917",0.000183975785399915,0.833230168138187,0.516,0.299,1
"Zfp644",0.000193810411638713,1.04676670616373,0.403,0.205,1
"Vopp1",0.000200365765256879,2.35641647127265,0.167,0.031,1
"Gramd3",0.000213390962053493,1.59311672929298,0.312,0.134,1
"S100a10",0.000233789333057181,-0.473530804294301,0.968,0.992,1
"Carnmt1",0.000253770843483303,1.03448837638529,0.269,0.094,1
"Hspa1a",0.000287063274700042,-1.17783520911497,0.452,0.583,1
"Ier5",0.000324410915426403,-0.996989855087878,0.344,0.528,1
"Ubc",0.000399733222748044,-0.71218530506612,0.833,0.921,1
"Rpl10",0.00043732924443865,-0.436863265573228,0.892,0.929,1
"Exosc1",0.000467682334247008,1.99384639188794,0.156,0.031,1
"Jun",0.000510399938075628,-0.566749664048696,0.677,0.835,1
"Gm2a",0.000537747314472523,1.09861871380501,0.274,0.11,1
"Macf1",0.00053916203304134,0.463670057984404,0.785,0.622,1
"Bcl2a1a",0.000590926378670381,-1.08813091027866,0.129,0.283,1
"Emb",0.000604287686288504,0.452566329984185,0.978,0.969,1
"Pstk",0.000607464082574262,1.68656507296498,0.167,0.039,1
"Rpl13a",0.000628219569161075,-0.333243408115197,0.984,1,1
"mt-Nd1",0.000640727832436323,-0.423794325219964,0.866,0.929,1
"Reps1",0.00071055558904587,1.07245622658431,0.274,0.11,1
"Pde3b",0.000726746346259173,0.518846936168041,0.72,0.52,1
"Hsp90b1",0.000747785804163218,0.565455987465718,0.823,0.654,1
"Nt5e",0.000764109517843837,0.524487933345357,0.328,0.15,1
"Aff4",0.000788628061915684,0.56500309308407,0.731,0.543,1
"Rpap2",0.000792500189790724,2.81875968532985,0.118,0.016,1
"Il7r",0.000840344355341202,0.399301801022033,0.989,0.921,1
"Ece1",0.000979767760848953,-1.42916782811373,0.108,0.244,1
"Ier2",0.00106127459120577,-0.896031965608127,0.473,0.646,1
"Trmt13",0.00109208616695265,2.25688079772174,0.129,0.024,1
"Ezh1",0.00110375829236708,1.24470608377564,0.269,0.118,1
"Ddx41",0.00119449702261198,1.7714539705515,0.156,0.039,1
"Rprd1b",0.00120281459747138,1.89009846705012,0.167,0.047,1
"Txnrd1",0.00121679241786657,1.34261067174762,0.237,0.094,1
"Ppp4r2",0.00122547058395344,0.849133334373372,0.409,0.22,1
"Gzmc",0.00123054639392291,-3.13543662505702,0.005,0.071,1
"Dohh",0.00125749874055878,2.69745338910772,0.097,0.008,1
"Cstf2",0.00125749874055878,2.69745338910772,0.097,0.008,1
"Plekha5",0.00129817775992201,0.784316121488546,0.452,0.26,1
"Atf3",0.00130023206627056,-1.60632735906938,0.129,0.26,1
"Rasal3",0.00134482558730364,0.744981759190306,0.339,0.165,1
"Csf2",0.00139742737310711,-2.32808170299942,0.032,0.126,1
"Eif4g1",0.001407134632716,1.1461337322142,0.344,0.189,1
"Tab3",0.00144072248063336,1.99384639188794,0.14,0.031,1
"Igkc",0.00146413746605911,1.95202621619332,0.14,0.031,1
"Eps8",0.00149157849948713,-1.3123143871411,0.086,0.213,1
"Rab10",0.00150367749173472,0.562226008413497,0.522,0.315,1
"Nbn",0.00166708964228029,1.89009846705012,0.161,0.047,1
"Trdc",0.00172538896203928,-0.528746378702456,0.581,0.724,1
"Txk",0.0017345222270915,1.0710142524104,0.328,0.173,1
"Gadd45b",0.00174973071891657,-1.09139606409781,0.452,0.567,1
"Atp5c1",0.00181376280217474,0.72850182536695,0.522,0.346,1
"Tpp2",0.00184158221099831,0.58868862333576,0.522,0.346,1
"Ifitm2",0.00185157015244142,-1.6379369655862,0.081,0.197,1
"Hexb",0.00194540910037575,0.961424914195567,0.29,0.134,1
"Jak1",0.00198389587934135,0.449525875664134,0.855,0.756,1
"Lmo4",0.00200962508915894,0.732634721660969,0.516,0.346,1
"Skap1",0.00207791551287121,0.383390773864818,0.941,0.819,1
"Mbtps1",0.00213279225595864,1.44952587566413,0.172,0.055,1
"Tsfm",0.00215216894799394,-2.42494324225201,0.011,0.079,1
"Zfp36l2",0.00218034632888767,0.460455435822394,0.774,0.654,1
"Csnk1a1",0.00218474375548511,0.435850938767058,0.618,0.394,1
"Lgals1",0.00226705050331736,-0.465342777367908,0.769,0.874,1
"Ankrd17",0.00234801984975122,0.436105359901813,0.581,0.394,1
"Apol7e",0.00242885176941594,1.60872447051339,0.215,0.087,1
"Entpd6",0.00243919636221004,2.09338206543886,0.118,0.024,1
"4833438C02Rik",0.00249755227404384,1.97308783172115,0.118,0.024,1
"N4bp2l2",0.00270266445969262,0.782101214751005,0.435,0.276,1
"Zcchc7",0.00270963302068885,0.533794792561739,0.661,0.512,1
"Stx2",0.00276881282603127,-3.87240221922323,0.005,0.063,1
"Romo1",0.00280745422435734,1.65115973683379,0.188,0.071,1
"Pex11b",0.00281191968240201,2.53698871691447,0.086,0.008,1
"Gpr180",0.00283079628329776,-3.35782904639347,0,0.047,1
"Adamts10",0.00285089028767554,-1.91304420372057,0.032,0.118,1
"Pde4b",0.00285915102546041,-0.621681074828285,0.677,0.732,1
"Stx16",0.00286124343974062,1.01721038495346,0.285,0.142,1
"Mfap1a",0.00287389621015978,1.67191829700058,0.177,0.063,1
"Chd3",0.00297949930927725,0.756954400856382,0.371,0.213,1
"Heca",0.0031211571951788,0.996014228570655,0.349,0.205,1
"Trub2",0.00312914450828902,-2.13543662505702,0.016,0.087,1
"Ppp6r3",0.00319098208112279,0.719615039031879,0.435,0.268,1
"Tusc3",0.0032245188018298,1.17887828572047,0.253,0.118,1
"Ifngr1",0.00325151113555784,0.333791195043571,0.941,0.827,1
"Gbf1",0.00326801421263374,0.843189724150411,0.409,0.26,1
"Tpt1",0.00331810433367441,-0.197054833160707,1,1,1
"Taok3",0.00332971436003983,0.543502023873148,0.392,0.228,1
"Snrpe",0.00333903183055525,0.559579421129048,0.559,0.386,1
"Dedd",0.00359556169182792,3.14996559380523,0.065,0,1
"Rpl35a",0.00359699392085477,0.224482252893888,0.995,0.992,1
"Rpl35",0.00360201712153558,-0.479739612798632,0.597,0.717,1
"Xpnpep1",0.00367013380954425,-1.62086345222726,0.048,0.142,1
"Sh3kbp1",0.00370874265000502,0.51719570220194,0.726,0.575,1
"Ramp3",0.00372658683722889,0.850309391262736,0.435,0.283,1
"Ssh2",0.00372767265687287,0.452686216557463,0.769,0.598,1
"Pard3",0.00381190682545167,0.623292943400841,0.414,0.26,1
"BC005624",0.00382606257461747,0.992053110064894,0.274,0.134,1
"Xpnpep3",0.00393907658410999,2.44952587566413,0.097,0.016,1
"Cebpb",0.00398448128477463,-0.427617376550332,0.538,0.724,1
"Tln1",0.00401556385370398,0.569435339399331,0.538,0.362,1
"BC031181",0.00401599589464546,0.822335139553681,0.376,0.22,1
"Rps27",0.00414238902750812,0.257937330204614,0.995,0.992,1
"Rpl12",0.00424616832500068,-0.258050023758587,0.995,1,1
"Arhgap15",0.00428423502208659,0.293835044119777,1,0.953,1
"Mecp2",0.00429595501974026,0.786560862941705,0.36,0.205,1
"Scaf11",0.00430071115045673,0.782509159060493,0.403,0.244,1
