"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",2.99805990075112e-34,4.6218481858347,0.01,0,5.55330635416131e-30,"0","Kctd19"
"2",0,4.46798163547958,0.537,0.045,0,"0","Cacna1d"
"3",8.11536419128208e-97,4.4557448953448,0.034,0.002,1.50320890915118e-92,"0","Lhx2"
"4",0,4.37533210839096,0.124,0.008,0,"0","Nos2"
"5",8.05199783364613e-153,4.29415035213561,0.055,0.003,1.49147155872627e-148,"0","Uaca"
"6",0,3.95336410907555,0.496,0.044,0,"0","Slc7a8"
"7",4.16309693119821e-71,3.83353571166827,0.031,0.003,7.71130444565844e-67,"0","Slc7a2"
"8",0,3.81690716509683,0.201,0.016,0,"0","Rhov"
"9",4.56327689847925e-175,3.75891300043092,0.071,0.005,8.45255779905312e-171,"0","Flrt2"
"10",1.52908084603781e-265,3.71964199978266,0.118,0.01,2.83231645111584e-261,"0","Nt5dc2"
"11",1.3876359003415e-288,3.64482342557376,0.14,0.015,2.57031797820256e-284,"0","Arg1"
"12",5.42190271280612e-203,3.61648072533245,0.089,0.008,1.00429903949308e-198,"0","Prm1"
"13",7.02569361126678e-92,3.58816505957841,0.039,0.003,1.30136922761494e-87,"0","Ddx4"
"14",5.81426405069582e-169,3.58328833930366,0.088,0.01,1.07697613011039e-164,"0","Sdc1"
"15",0,3.57988291639176,0.592,0.077,0,"0","Ccl2"
"16",0,3.53699258415608,0.151,0.015,0,"0","Rhou"
"17",0,3.535123373171,0.635,0.069,0,"0","Msr1"
"18",0,3.5230497095614,0.252,0.025,0,"0","Dmkn"
"19",0,3.52212503972932,0.25,0.027,0,"0","Met"
"20",3.39398757349871e-132,3.46242762082717,0.061,0.006,6.28668318239166e-128,"0","9630028H03Rik"
"21",0,3.45806915970277,0.419,0.046,0,"0","Cfb"
"22",0,3.41224879105021,0.429,0.043,0,"0","C3ar1"
"23",0,3.4104823564252,0.877,0.13,0,"0","Fcgr1"
"24",0,3.40163013573259,0.168,0.016,0,"0","Tfec"
"25",3.69268782543748e-75,3.37458109585922,0.036,0.003,6.83996565905784e-71,"0","Cd276"
"26",1.09648567862688e-293,3.35227093413413,0.145,0.016,2.03102042252058e-289,"0","Il27"
"27",6.42084947981448e-135,3.34152956964047,0.08,0.011,1.18933394914604e-130,"0","Pdpn"
"28",7.59849812425272e-132,3.34131172214427,0.062,0.006,1.40746980755533e-127,"0","4930545L23Rik"
"29",0,3.33219365807032,0.51,0.058,0,"0","F10"
"30",6.3989374147096e-105,3.3293285621033,0.071,0.012,1.18527517732666e-100,"0","Gpnmb"
"31",1.22913003450572e-264,3.32848924314411,0.132,0.014,2.27671756291495e-260,"0","Gm17268"
"32",0,3.31436231239455,0.491,0.052,0,"0","Chil3"
"33",8.27269061311687e-125,3.31179844190125,0.059,0.006,1.53235048226764e-120,"0","Ankrd66"
"34",0,3.2835095762193,0.446,0.083,0,"0","Hmox1"
"35",0,3.26122672147686,0.227,0.024,0,"0","Ccl12"
"36",0,3.25111391317269,0.229,0.027,0,"0","Ms4a8a"
"37",0,3.24472310285193,0.901,0.18,0,"0","Ms4a6d"
"38",1.50090992197911e-77,3.21686435121978,0.039,0.004,2.78013544848191e-73,"0","F7"
"39",0,3.21145838432495,0.616,0.15,0,"0","Cxcl10"
"40",1.25999310855419e-58,3.21038614077968,0.03,0.003,2.33388523497493e-54,"0","Ptges"
"41",2.9295389872811e-216,3.19698525669978,0.112,0.013,5.42638506614078e-212,"0","Stab1"
"42",0,3.18904477548641,0.535,0.072,0,"0","Gab1"
"43",0,3.1865302069625,0.19,0.022,0,"0","G530011O06Rik"
"44",8.92838188174003e-131,3.18361158854855,0.079,0.011,1.65380417595471e-126,"0","Selenbp1"
"45",0,3.18092553320516,0.264,0.033,0,"0","Sash1"
"46",1.0294042086877e-101,3.16662159644016,0.052,0.006,1.90676541575223e-97,"0","A630012P03Rik"
"47",0,3.16567347909782,0.778,0.099,0,"0","Plcb1"
"48",0,3.15976197079733,0.772,0.105,0,"0","Mafb"
"49",0,3.15242928247639,0.667,0.076,0,"0","Vcan"
"50",8.02809070903315e-113,3.13371207140647,0.059,0.007,1.48704324203421e-108,"0","Scarf1"
"51",0,3.12265980332983,0.245,0.031,0,"0","Mmp14"
"52",0,3.12256884837299,0.415,0.055,0,"0","Adap2"
"53",2.17711952397195e-111,3.09133346913592,0.058,0.007,4.03267849425325e-107,"0","Rusc2"
"54",3.49443533924898e-92,3.09133346913592,0.05,0.006,6.47274257889089e-88,"0","Gm47507"
"55",0,3.08967506263321,0.855,0.159,0,"0","Thbs1"
"56",1.85517709553169e-125,3.08463881656191,0.065,0.007,3.43634453405335e-121,"0","Sectm1a"
"57",0,3.07972684948794,0.172,0.021,0,"0","Adap2os"
"58",4.52697185614759e-22,3.05385876371726,0.011,0.001,8.38530996914218e-18,"0","Cgnl1"
"59",0,3.05146008640384,0.227,0.029,0,"0","Plekhg1"
"60",0,3.04305676844178,0.51,0.082,0,"0","Rin2"
"61",4.29321389920204e-156,3.04242386865497,0.086,0.011,7.95232010549193e-152,"0","Tlr5"
"62",3.20541887914331e-221,3.03060312160273,0.134,0.019,5.93739738983715e-217,"0","Tnfaip6"
"63",5.11425607108774e-302,3.02527906546556,0.166,0.021,9.47313652047582e-298,"0","Tlr8"
"64",0,3.02274920252584,0.235,0.03,0,"0","Cmklr1"
"65",0,3.02048000400452,0.868,0.177,0,"0","Pde7b"
"66",0,3.01604189442874,0.7,0.107,0,"0","Ifi205"
"67",0,3.00981489166628,0.509,0.072,0,"0","Il18"
"68",0,3.0068209889703,0.88,0.161,0,"0","Tgfbi"
"69",1.16565371362791e-201,2.99759175935998,0.117,0.016,2.15914037375298e-197,"0","Lpar1"
"70",0,2.99637899564799,0.661,0.107,0,"0","Tgm2"
"71",0,2.99384430382034,0.444,0.077,0,"0","Rgl1"
"72",0,2.99120543464838,0.244,0.03,0,"0","Tarm1"
"73",1.04925316658071e-170,2.98467336115162,0.096,0.012,1.94353164045746e-166,"0","Gm21860"
"74",0,2.96710055838648,0.226,0.035,0,"0","Map3k20"
"75",1.8856981419965e-306,2.9497867577587,0.181,0.025,3.49287866842011e-302,"0","4930430E12Rik"
"76",0,2.9400621510253,0.41,0.058,0,"0","Hk3"
"77",3.65936851547919e-264,2.93746831858971,0.156,0.022,6.7782483012221e-260,"0","Flt1"
"78",0,2.93513132749394,0.383,0.054,0,"0","Mmp19"
"79",4.56786341291859e-298,2.92891217611793,0.175,0.025,8.4610533997491e-294,"0","Ccl7"
"80",0,2.92156305596495,0.499,0.08,0,"0","Phf11d"
"81",0,2.9211919605962,0.745,0.116,0,"0","Klra2"
"82",0,2.91154296019212,0.241,0.035,0,"0","Gm5431"
"83",0,2.90615638383335,0.262,0.033,0,"0","Gm13986"
"84",0,2.90209029049383,0.225,0.031,0,"0","Arhgef37"
"85",7.41419884684311e-235,2.88240207613374,0.139,0.019,1.37333205240075e-230,"0","Serpinb8"
"86",2.19961660672633e-97,2.88188010350697,0.058,0.008,4.07434984063918e-93,"0","Msantd3"
"87",2.66086766609453e-206,2.86699435334557,0.133,0.021,4.9287251779069e-202,"0","Rilpl1"
"88",0,2.85443864239867,0.716,0.137,0,"0","Gpr141"
"89",0,2.84496207003907,0.871,0.161,0,"0","Pid1"
"90",1.53241502457172e-53,2.8426543562792,0.032,0.004,2.8384923500142e-49,"0","Kcnh4"
"91",0,2.8342202947051,0.691,0.11,0,"0","Pla2g7"
"92",6.22888907814019e-231,2.82284463321002,0.143,0.021,1.15377712394391e-226,"0","Aldh1b1"
"93",5.99860793933683e-132,2.79529585373054,0.098,0.018,1.11112214860336e-127,"0","Timp1"
"94",0,2.79220832377281,0.2,0.029,0,"0","Clec5a"
"95",2.94494454069649e-137,2.79162341358979,0.087,0.013,5.45492077273211e-133,"0","F630040K05Rik"
"96",1.24698666924117e-305,2.79070477604901,0.194,0.03,2.30979340743543e-301,"0","Fpr2"
"97",0,2.78992239158907,0.448,0.07,0,"0","Sirpb1c"
"98",3.87384999320799e-221,2.78837287888937,0.133,0.019,7.17553234241916e-217,"0","Cd177"
"99",0,2.78318843285823,0.235,0.042,0,"0","Rnf217"
"100",1.31436440451121e-49,2.77244582856861,0.029,0.004,2.43459718647611e-45,"0","Apoc1"
"101",0,2.76316195615344,0.686,0.166,0,"0","Ier3"
"102",0,2.76053671450418,0.316,0.05,0,"0","Pla2g4a"
"103",0,2.75325264362796,0.39,0.065,0,"0","Tcf7l2"
"104",0,2.74968035727923,0.346,0.058,0,"0","Alas1"
